#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
1	p	ter	0	1	0	1	gneg	
1	q	A1	1	18	2	8826072	gpos	100
1	q	A2	18	25	8826073	12258434	gneg	
1	q	A3	25	41	12258435	20103832	gpos	33
1	q	A4	41	45	20103833	22065182	gneg	
1	q	A5	45	63	22065183	30891255	gpos	100
1	q	B	63	88	30891256	43149689	gneg	
1	q	C1.1	88	111	43149690	54427449	gpos	66
1	q	C1.2	111	114	54427450	55898461	gneg	
1	q	C1.3	114	121	55898462	59330823	gpos	75
1	q	C2	121	133	59330824	65214872	gneg	
1	q	C3	133	152	65214873	74531282	gpos	33
1	q	C4	152	163	74531283	79924993	gneg	
1	q	C5	163	178	79924994	87280054	gpos	33
1	q	D	178	203	87280055	99538489	gneg	
1	q	E1.1	203	209	99538490	102480513	gpos	33
1	q	E1.2	209	211	102480514	103461188	gneg	
1	q	E2.1	211	229	103461189	112287261	gpos	100
1	q	E2.2	229	232	112287262	113758273	gneg	
1	q	E2.3	232	256	113758274	125526370	gpos	100
1	q	E3	256	262	125526371	128468394	gneg	
1	q	E4	262	284	128468395	139255817	gpos	66
1	q	F	284	300	139255818	147101215	gneg	
1	q	G1	300	309	147101216	151514251	gpos	100
1	q	G2	309	311	151514252	152494926	gneg	
1	q	G3	311	320	152494927	156907963	gpos	100
1	q	H1	320	326	156907964	159849987	gneg	
1	q	H2.1	326	334	159849988	163772686	gpos	33
1	q	H2.2	334	337	163772687	165243698	gneg	
1	q	H2.3	337	346	165243699	169656735	gpos	33
1	q	H3	346	358	169656736	175540783	gneg	
1	q	H4	358	370	175540784	181424832	gpos	33
1	q	H5	370	383	181424833	187799218	gneg	
1	q	H6	383	398	187799219	195154279	gpos	33
2	p	ter	0	1	0	1	gneg	
2	q	A1	1	30	2	14053222	gpos	100
2	q	A2	30	35	14053223	16395426	gneg	
2	q	A3	35	62	16395427	29043327	gpos	33
2	q	B	62	103	29043328	48249398	gneg	
2	q	C1.1	103	129	48249399	60428858	gpos	100
2	q	C1.2	129	130	60428859	60897299	gneg	
2	q	C1.3	130	146	60897300	68392351	gpos	100
2	q	C2	146	153	68392352	71671437	gneg	
2	q	C3	153	173	71671438	81040252	gpos	66
2	q	D	173	189	81040253	88535304	gneg	
2	q	E1	189	216	88535305	101183205	gpos	100
2	q	E2	216	224	101183206	104930731	gneg	
2	q	E3	224	241	104930732	112894224	gpos	33
2	q	E4	241	247	112894225	115704869	gneg	
2	q	E5	247	264	115704870	123668362	gpos	66
2	q	F1	264	281	123668363	131631855	gneg	
2	q	F2	281	287	131631856	134442499	gpos	33
2	q	F3	287	301	134442500	141000670	gneg	
2	q	G1	301	313	141000671	146621959	gpos	100
2	q	G2	313	315	146621960	147558841	gneg	
2	q	G3	315	325	147558842	152243248	gpos	100
2	q	H1	325	339	152243249	158801419	gneg	
2	q	H2	339	348	158801420	163017386	gpos	33
2	q	H3	348	370	163017387	173323083	gneg	
2	q	H4	370	388	173323084	181755017	gpos	33
3	p	ter	0	1	0	1	gneg	
3	q	A1	1	38	2	18507079	gpos	100
3	q	A2	38	42	18507080	20455192	gneg	
3	q	A3	42	73	20455193	35553073	gpos	66
3	q	B	73	96	35553074	46754726	gneg	
3	q	C	96	116	46754727	56495294	gpos	100
3	q	D	116	125	56495295	60878550	gneg	
3	q	E1	125	143	60878551	69645061	gpos	33
3	q	E2	143	149	69645062	72567231	gneg	
3	q	E3	149	172	72567232	83768885	gpos	100
3	q	F1	172	191	83768886	93022424	gneg	
3	q	F2.1	191	200	93022425	97405680	gpos	33
3	q	F2.2	200	218	97405681	106172191	gneg	
3	q	F2.3	218	222	106172192	108120305	gpos	33
3	q	F3	222	236	108120306	114938702	gneg	
3	q	G1	236	260	114938703	126627384	gpos	100
3	q	G2	260	264	126627385	128575498	gneg	
3	q	G3	264	284	128575499	138316066	gpos	66
3	q	H1	284	295	138316067	143673378	gneg	
3	q	H2	295	304	143673379	148056634	gpos	33
3	q	H3	304	316	148056635	153900975	gneg	
3	q	H4	316	328	153900976	159745316	gpos	33
4	p	ter	0	1	0	1	gneg	
4	q	A1	1	31	2	14916200	gpos	100
4	q	A2	31	37	14916201	17803206	gneg	
4	q	A3	37	59	17803207	28388897	gpos	100
4	q	A4	59	63	28388898	30313568	gneg	
4	q	A5	63	91	30313569	43786265	gpos	66
4	q	B1	91	108	43786266	51966116	gneg	
4	q	B2	108	115	51966117	55334291	gpos	33
4	q	B3	115	132	55334292	63514142	gneg	
4	q	C1	132	145	63514143	69769323	gpos	33
4	q	C2	145	150	69769324	72175162	gneg	
4	q	C3	150	175	72175163	84204355	gpos	100
4	q	C4	175	187	84204356	89978368	gneg	
4	q	C5	187	203	89978369	97677052	gpos	66
4	q	C6	203	220	97677053	105856904	gneg	
4	q	C7	220	231	105856905	111149749	gpos	66
4	q	D1	231	245	111149750	117886098	gneg	
4	q	D2.1	245	251	117886099	120773104	gpos	33
4	q	D2.2	251	273	120773105	131358795	gneg	
4	q	D2.3	273	279	131358796	134245801	gpos	33
4	q	D3	279	295	134245802	141944485	gneg	
4	q	E1	295	308	141944486	148199666	gpos	100
4	q	E2	308	326	148199667	156860686	gneg	
5	p	ter	0	1	0	1	gneg	
5	q	A1	1	31	2	14887666	gpos	100
5	q	A2	31	34	14887667	16328408	gneg	
5	q	A3	34	53	16328409	25453107	gpos	66
5	q	B1	53	70	25453108	33617311	gneg	
5	q	B2	70	74	33617312	35538300	gpos	33
5	q	B3	74	105	35538301	50425967	gneg	
5	q	C1	105	122	50425968	58590171	gpos	33
5	q	C2	122	127	58590172	60991407	gneg	
5	q	C3.1	127	149	60991408	71556848	gpos	100
5	q	C3.2	149	153	71556849	73477837	gneg	
5	q	C3.3	153	162	73477838	77800063	gpos	66
5	q	D	162	170	77800064	81642042	gneg	
5	q	E1	170	190	81642043	91246988	gpos	100
5	q	E2	190	195	91246989	93648224	gneg	
5	q	E3	195	207	93648225	99411192	gpos	33
5	q	E4	207	212	99411193	101812429	gneg	
5	q	E5	212	224	101812430	107575396	gpos	33
5	q	F	224	260	107575397	124864299	gneg	
5	q	G1.1	260	264	124864300	126785289	gpos	33
5	q	G1.2	264	266	126785290	127745783	gneg	
5	q	G1.3	266	272	127745784	130627267	gpos	33
5	q	G2	272	304	130627268	145995181	gneg	
5	q	G3	304	316	145995182	151758149	gpos	33
6	p	ter	0	1	0	1	gneg	
6	q	A1	1	34	2	16620893	gpos	100
6	q	A2	34	44	16620894	21509391	gneg	
6	q	A3.1	44	56	21509392	27375589	gpos	100
6	q	A3.2	56	58	27375590	28353289	gneg	
6	q	A3.3	58	70	28353290	34219487	gpos	100
6	q	B1	70	85	34219488	41552234	gneg	
6	q	B2.1	85	91	41552235	44485333	gpos	66
6	q	B2.2	91	94	44485334	45951882	gneg	
6	q	B2.3	94	104	45951883	50840380	gpos	66
6	q	B3	104	128	50840381	62572776	gneg	
6	q	C1	128	152	62572777	74305172	gpos	100
6	q	C2	152	157	74305173	76749421	gneg	
6	q	C3	157	176	76749422	86037567	gpos	66
6	q	D1	176	193	86037568	94348014	gneg	
6	q	D2	193	196	94348015	95814564	gpos	33
6	q	D3	196	211	95814565	103147311	gneg	
6	q	E1	211	222	103147312	108524659	gpos	100
6	q	E2	222	224	108524660	109502359	gneg	
6	q	E3	224	239	109502360	116835106	gpos	100
6	q	F1	239	251	116835107	122701304	gneg	
6	q	F2	251	256	122701305	125145553	gpos	33
6	q	F3	256	270	125145554	131989450	gneg	
6	q	G1	270	285	131989451	139322197	gpos	66
6	q	G2	285	292	139322198	142744146	gneg	
6	q	G3	292	306	142744147	149588044	gpos	33
7	p	ter	0	1	0	1	gneg	
7	q	A1	1	30	2	15156292	gpos	100
7	q	A2	30	36	15156293	18187550	gneg	
7	q	A3	36	56	18187551	28291745	gpos	33
7	q	B1	56	68	28291746	34354262	gneg	
7	q	B2	68	74	34354263	37385520	gpos	33
7	q	B3	74	94	37385521	47489715	gneg	
7	q	B4	94	107	47489716	54057442	gpos	33
7	q	B5	107	120	54057443	60625169	gneg	
7	q	C	120	141	60625170	71234573	gpos	100
7	q	D1	141	152	71234574	76791880	gneg	
7	q	D2	152	159	76791881	80328349	gpos	66
7	q	D3	159	178	80328350	89927334	gneg	
7	q	E1	178	197	89927335	99526319	gpos	100
7	q	E2	197	202	99526320	102052367	gneg	
7	q	E3	202	220	102052368	111146143	gpos	33
7	q	F1	220	234	111146144	118219079	gneg	
7	q	F2	234	243	118219080	122765967	gpos	33
7	q	F3	243	271	122765968	136911840	gneg	
7	q	F4	271	278	136911841	140448308	gpos	33
7	q	F5	278	287	140448309	144995196	gneg	
8	p	ter	0	1	0	1	gneg	
8	q	A1.1	1	34	2	16030223	gpos	100
8	q	A1.2	34	36	16030224	16973177	gneg	
8	q	A1.3	36	43	16973178	20273517	gpos	33
8	q	A2	43	63	20273518	29703060	gneg	
8	q	A3	63	72	29703061	33946354	gpos	33
8	q	A4	72	94	33946355	44318852	gneg	
8	q	B1.1	94	103	44318853	48562146	gpos	66
8	q	B1.2	103	107	48562147	50448055	gneg	
8	q	B1.3	107	119	50448056	56105781	gpos	66
8	q	B2	119	127	56105782	59877598	gneg	
8	q	B3.1	127	143	59877599	67421232	gpos	100
8	q	B3.2	143	145	67421233	68364187	gneg	
8	q	B3.3	145	159	68364188	74964867	gpos	100
8	q	C1	159	171	74964868	80622593	gneg	
8	q	C2	171	181	80622594	85337364	gpos	33
8	q	C3	181	192	85337365	90523613	gneg	
8	q	C4	192	195	90523614	91938044	gpos	33
8	q	C5	195	204	91938045	96181339	gneg	
8	q	D1	204	220	96181340	103724973	gpos	100
8	q	D2	220	222	103724974	104667927	gneg	
8	q	D3	222	236	104667928	111268607	gpos	33
8	q	E1	236	264	111268608	124469968	gneg	
8	q	E2	264	276	124469969	130127694	gpos	33
9	p	ter	0	1	0	1	gneg	
9	q	A1	1	31	2	14384890	gpos	100
9	q	A2	31	42	14384891	19489206	gneg	
9	q	A3	42	52	19489207	24129494	gpos	33
9	q	A4	52	82	24129495	38050355	gneg	
9	q	A5.1	82	95	38050356	44082729	gpos	66
9	q	A5.2	95	100	44082730	46402873	gneg	
9	q	A5.3	100	118	46402874	54755390	gpos	66
9	q	B	118	136	54755391	63107907	gneg	
9	q	C	136	150	63107908	69604309	gpos	33
9	q	D	150	167	69604310	77492798	gneg	
9	q	E1	167	178	77492799	82597114	gpos	33
9	q	E2	178	182	82597115	84453229	gneg	
9	q	E3.1	182	196	84453230	90949631	gpos	100
9	q	E3.2	196	197	90949632	91413660	gneg	
9	q	E3.3	197	217	91413661	100694234	gpos	100
9	q	E4	217	219	100694235	101622292	gpos	66
9	q	F1	219	233	101622293	108118694	gneg	
9	q	F2	233	239	108118695	110902866	gpos	33
9	q	F3	239	258	110902867	119719412	gneg	
9	q	F4	258	268	119719413	124359700	gpos	33
10	p	ter	0	1	0	1	gneg	
10	q	A1	1	26	2	12806801	gpos	100
10	q	A2	26	36	12806802	17732494	gneg	
10	q	A3	36	48	17732495	23643325	gpos	33
10	q	A4	48	68	23643326	33494711	gneg	
10	q	B1	68	84	33494712	41375820	gpos	100
10	q	B2	84	98	41375821	48271790	gneg	
10	q	B3	98	114	48271791	56152899	gpos	100
10	q	B4	114	130	56152900	64034007	gneg	
10	q	B5.1	130	138	64034008	67974562	gpos	100
10	q	B5.2	138	139	67974563	68467131	gneg	
10	q	B5.3	139	152	68467132	74870532	gpos	100
10	q	C1	152	181	74870533	89155041	gneg	
10	q	C2	181	195	89155042	96051011	gpos	33
10	q	C3	195	201	96051012	99006427	gneg	
10	q	D1	201	227	99006428	111813228	gpos	100
10	q	D2	227	253	111813229	124620030	gneg	
10	q	D3	253	265	124620031	130530862	gpos	33
11	p	ter	0	1	0	1	gneg	
11	q	A1	1	28	2	13035321	gpos	100
11	q	A2	28	37	13035322	17225246	gneg	
11	q	A3.1	37	47	17225247	21880718	gpos	100
11	q	A3.2	47	55	21880719	25605096	gneg	
11	q	A3.3	55	65	25605097	30260568	gpos	100
11	q	A4	65	78	30260569	36312682	gneg	
11	q	A5	78	93	36312683	43295890	gpos	100
11	q	B1.1	93	103	43295891	47951362	gneg	
11	q	B1.2	103	107	47951363	49813551	gpos	33
11	q	B1.3	107	129	49813552	60055590	gneg	
11	q	B2	129	135	60055591	62848873	gpos	33
11	q	B3	135	152	62848874	70763175	gneg	
11	q	B4	152	159	70763176	74022006	gpos	33
11	q	B5	159	176	74022007	81936308	gneg	
11	q	C	176	194	81936309	90316158	gpos	100
11	q	D	194	220	90316159	102420386	gneg	
11	q	E1	220	237	102420387	110334688	gpos	66
11	q	E2	237	262	110334689	121973369	gneg	
12	p	ter	0	1	0	1	gneg	
12	q	A1.1	1	40	2	17596008	gpos	100
12	q	A1.2	40	48	17596009	21115210	gneg	
12	q	A1.3	48	59	21115211	25954112	gpos	66
12	q	A2	59	72	25954113	31672815	gneg	
12	q	A3	72	89	31672816	39151118	gpos	33
12	q	B1	89	100	39151119	43990020	gneg	
12	q	B2	100	102	43990021	44869821	gpos	33
12	q	B3	102	118	44869822	51908224	gneg	
12	q	C1	118	150	51908225	65985031	gpos	100
12	q	C2	150	162	65985032	71263833	gneg	
12	q	C3	162	184	71263834	80941638	gpos	100
12	q	D1	184	194	80941639	85340640	gneg	
12	q	D2	194	201	85340641	88419941	gpos	33
12	q	D3	201	217	88419942	95458345	gneg	
12	q	E	217	241	95458346	106015950	gpos	100
12	q	F1	241	260	106015951	114374054	gneg	
12	q	F2	260	273	114374055	120092757	gpos	66
13	p	ter	0	1	0	1	gneg	
13	q	A1	1	33	2	16348953	gpos	100
13	q	A2	33	43	16348954	21303182	gneg	
13	q	A3.1	43	60	21303183	29725370	gpos	66
13	q	A3.2	60	67	29725371	33193330	gneg	
13	q	A3.3	67	84	33193331	41615519	gpos	33
13	q	A4	84	90	41615520	44588056	gneg	
13	q	A5	90	107	44588057	53010244	gpos	33
13	q	B1	107	120	53010245	59450741	gneg	
13	q	B2	120	125	59450742	61927856	gpos	33
13	q	B3	125	141	61927857	69854621	gneg	
13	q	C1	141	159	69854622	78772232	gpos	33
13	q	C2	159	164	78772233	81249347	gneg	
13	q	C3	164	192	81249348	95121186	gpos	100
13	q	D1	192	216	95121187	107011335	gneg	
13	q	D2.1	216	224	107011336	110974718	gpos	33
13	q	D2.2	224	236	110974719	116919792	gneg	
13	q	D2.3	236	244	116919793	120883175	gpos	33
14	p	ter	0	1	0	1	gneg	
14	q	A1	1	30	2	15016758	gpos	100
14	q	A2	30	39	15016759	19521786	gneg	
14	q	A3	39	60	19521787	30033517	gpos	33
14	q	B	60	87	30033518	43548600	gneg	
14	q	C1	87	104	43548601	52058096	gpos	100
14	q	C2	104	110	52058097	55061448	gneg	
14	q	C3	110	120	55061449	60067034	gpos	66
14	q	D1	120	138	60067035	69077090	gneg	
14	q	D2	138	146	69077091	73081559	gpos	33
14	q	D3	146	170	73081560	85094966	gneg	
14	q	E1	170	178	85094967	89099435	gpos	66
14	q	E2.1	178	198	89099436	99110607	gpos	100
14	q	E2.2	198	200	99110608	100111724	gneg	
